ProlificID,Age,Gender,Education,Job,License,DrivingFrequency,Distance,InterestQ1,InterestQ2,InterestQ3
S28S07M03,18,Male,High school,Student (college),1,Daily,25.000 - 32.999 km,5,4,5
T18P09M95,26,Male,College,Employee,8,on working days,7.000 - 14.999 km,4,4,2
L18P09M99,22,Male,College,Student (college),6,3-4 times a week,less than 7.000 km,4,4,3
S06P11F66,55,Female,High school,Employee,27,Daily,15.000 - 24.999 km,2,2,2
M27K10F40,81,Female,Secondary school,other,41,1 time a week,less than 7.000 km,2,2,2
M28H04M87,35,Male,College,Employee,17,1-3 times a month,7.000 - 14.999 km,5,5,4
A11D09F00,21,Female,High school,Student (college),3,1-3 times a month,less than 7.000 km,4,4,2
B10K05F00,22,Female,High school,Student (college),5,Daily,7.000 - 14.999 km,4,2,1
D18S07M00,22,Male,High school,Student (college),4,3-4 times a week,7.000 - 14.999 km,5,2,2
V13M02F97,25,Female,College,Employee,7,on working days,15.000 - 24.999 km,5,4,2
K08P05M02,20,Male,Middle school,Student (school),2,3-4 times a week,7.000 - 14.999 km,4,3,1
H15P05M63,59,Male,College,Employee,41,on working days,15.000 - 24.999 km,3,2,2
